Fishing_year,Fishery,Estimate_type,Bycatch_tonnes,field_5
1991,Hoki_HOK,fine,36634,85646
1992,Hoki_HOK,fine,24148,82519
1993,Hoki_HOK,fine,21871,
1994,Hoki_HOK,fine,15196,
1995,Hoki_HOK,fine,28097,
1996,Hoki_HOK,fine,28569,
1997,Hoki_HOK,fine,38479,
1998,Hoki_HOK,fine,42714,
1999,Hoki_HOK,fine,41660.5,
2000,Hoki_HOK,fine,60000,
2001,Hoki_HOK,fine,57400,
2002,Hoki_HOK,fine,59200,
2003,Hoki_HOK,fine,55800,
2004,Hoki_HOK,fine,58000,
2005,Hoki_HOK,fine,41000,
2006,Hoki_HOK,fine,37000,
2007,Hoki_HOK,fine,36000,
2008,Hoki_HOK,coarse,18264,
2009,Hoki_HOK,coarse,15049,
2010,Hoki_HOK,coarse,16178,
2011,Hoki_HOK,coarse,16889,
2012,Hoki_HOK,coarse,14181,27342
1991,Jack_mackerel_JMA,fine,5399,
1992,Jack_mackerel_JMA,fine,10932,
2002,Oreo_OEO,fine,920,
2006,Scampi_SCI,fine,2090,
2007,Scampi_SCI,fine,4110,
2008,Scampi_SCI,fine,3790,
2009,Scampi_SCI,fine,2900,
2010,Scampi_SCI,fine,3290,
2011,Scampi_SCI,coarse,1027,
2012,Scampi_SCI,coarse,963,
1991,Southern_blue_whiting_SBW,fine,533,
1992,Southern_blue_whiting_SBW,fine,1479,
1993,Southern_blue_whiting_SBW,fine,206,
1994,Southern_blue_whiting_SBW,fine,382,
1995,Southern_blue_whiting_SBW,fine,178,
1996,Southern_blue_whiting_SBW,fine,63,
1997,Southern_blue_whiting_SBW,fine,203,
1998,Southern_blue_whiting_SBW,fine,296,
1999,Southern_blue_whiting_SBW,fine,no_data,
2000,Southern_blue_whiting_SBW,fine,no_data,
2001,Southern_blue_whiting_SBW,fine,223,
2002,Southern_blue_whiting_SBW,fine,364,
2003,Southern_blue_whiting_SBW,fine,230,
2004,Southern_blue_whiting_SBW,fine,390,
2005,Southern_blue_whiting_SBW,fine,250,
2006,Southern_blue_whiting_SBW,fine,190,
2007,Southern_blue_whiting_SBW,fine,40,
2008,Southern_blue_whiting_SBW,coarse,68,
2009,Southern_blue_whiting_SBW,coarse,101,
2010,Southern_blue_whiting_SBW,coarse,265,
2011,Southern_blue_whiting_SBW,coarse,188,
2012,Southern_blue_whiting_SBW,coarse,193,
1991,Squid_SQU,fine,16860,
1992,Squid_SQU,fine,15710,
1993,Squid_SQU,fine,17370,
1994,Squid_SQU,fine,10520,
1995,Squid_SQU,fine,4490,
1996,Squid_SQU,fine,15890,
1997,Squid_SQU,fine,14130,
1998,Squid_SQU,fine,9510,
1999,Squid_SQU,fine,20140,
2000,Squid_SQU,fine,12550,
2001,Squid_SQU,fine,20980,
2002,Squid_SQU,fine,25280,
2003,Squid_SQU,fine,20760,
2004,Squid_SQU,fine,16090,
2005,Squid_SQU,fine,18100,
1993,Jack_mackerel_JMA,fine,10609,
1994,Jack_mackerel_JMA,fine,8546,
1995,Jack_mackerel_JMA,fine,7347,
1996,Jack_mackerel_JMA,fine,7422,
1997,Jack_mackerel_JMA,fine,7352,
1998,Jack_mackerel_JMA,fine,12639,
1999,Jack_mackerel_JMA,fine,15489,
2000,Jack_mackerel_JMA,fine,11644,
2001,Jack_mackerel_JMA,fine,12535,
2002,Jack_mackerel_JMA,fine,11940,
2003,Jack_mackerel_JMA,fine,10300,
2004,Jack_mackerel_JMA,fine,7740,
2005,Jack_mackerel_JMA,fine,8050,
2006,Jack_mackerel_JMA,coarse,15308,
2007,Jack_mackerel_JMA,coarse,15918,
2008,Jack_mackerel_JMA,coarse,11649,
2009,Jack_mackerel_JMA,coarse,9737,
2010,Jack_mackerel_JMA,coarse,13013,
2011,Jack_mackerel_JMA,coarse,7050,
2012,Jack_mackerel_JMA,coarse,8520,
1991,Ling_longline_LLL,fine,no_data,
1992,Ling_longline_LLL,fine,no_data,
1993,Ling_longline_LLL,fine,3310,
1994,Ling_longline_LLL,fine,3320,
1995,Ling_longline_LLL,fine,3180,
1996,Ling_longline_LLL,fine,3340,
1997,Ling_longline_LLL,fine,3561,
1998,Ling_longline_LLL,fine,3772,
1999,Ling_longline_LLL,fine,2957,
2000,Ling_longline_LLL,fine,3075,
2001,Ling_longline_LLL,fine,3767,
2002,Ling_longline_LLL,fine,4068,
2003,Ling_longline_LLL,fine,2611,
2004,Ling_longline_LLL,fine,2854,
2005,Ling_longline_LLL,fine,2650,
2006,Ling_longline_LLL,fine,2673,
2007,Ling_longline_LLL,fine,1994,
2008,Ling_longline_LLL,fine,3032,
2009,Ling_longline_LLL,fine,2713,
2010,Ling_longline_LLL,fine,2672,
2011,Ling_longline_LLL,fine,2912,
2012,Ling_longline_LLL,fine,2452,
1991,Orange_roughy_ORH,fine,20450,
1992,Orange_roughy_ORH,fine,22250,
1993,Orange_roughy_ORH,fine,11650,
1994,Orange_roughy_ORH,fine,27220,
1995,Orange_roughy_ORH,fine,18940,
1996,Orange_roughy_ORH,fine,17940,
1997,Orange_roughy_ORH,fine,21880,
1998,Orange_roughy_ORH,fine,16500,
1999,Orange_roughy_ORH,fine,7210,
2000,Orange_roughy_ORH,fine,7820,
2001,Orange_roughy_ORH,fine,9220,
2002,Orange_roughy_ORH,fine,4250,
2003,Orange_roughy_ORH,fine,4850,
2004,Orange_roughy_ORH,fine,6400,
2005,Orange_roughy_ORH,fine,6160,
2006,Orange_roughy_ORH,fine,3620,
2007,Orange_roughy_ORH,fine,2300,
2008,Orange_roughy_ORH,fine,3320,
2009,Orange_roughy_ORH,fine,3730,
2010,Orange_roughy_ORH,coarse,3085,
2011,Orange_roughy_ORH,coarse,707,
2012,Orange_roughy_ORH,coarse,561,
1991,Oreo_OEO,fine,1600,
1992,Oreo_OEO,fine,480,
1993,Oreo_OEO,fine,730,
1994,Oreo_OEO,fine,630,
1995,Oreo_OEO,fine,270,
1996,Oreo_OEO,fine,1090,
1997,Oreo_OEO,fine,750,
1998,Oreo_OEO,fine,1980,
1999,Oreo_OEO,fine,2260,
2000,Oreo_OEO,fine,1280,
2001,Oreo_OEO,fine,570,
2003,Oreo_OEO,fine,1730,
2004,Oreo_OEO,fine,670,
2005,Oreo_OEO,fine,1020,
2006,Oreo_OEO,fine,800,
2007,Oreo_OEO,fine,720,
2008,Oreo_OEO,fine,400,
2009,Oreo_OEO,fine,1350,
2010,Oreo_OEO,coarse,1051,
2011,Oreo_OEO,coarse,411,
2012,Oreo_OEO,coarse,472,
1991,Scampi_SCI,fine,4170,
1992,Scampi_SCI,fine,7520,
1993,Scampi_SCI,fine,9050,
1994,Scampi_SCI,fine,5310,
1995,Scampi_SCI,fine,7900,
1996,Scampi_SCI,fine,7080,
1997,Scampi_SCI,fine,4650,
1998,Scampi_SCI,fine,2920,
1999,Scampi_SCI,fine,3450,
2000,Scampi_SCI,fine,4150,
2001,Scampi_SCI,fine,4860,
2002,Scampi_SCI,fine,7940,
2003,Scampi_SCI,fine,5060,
2004,Scampi_SCI,fine,3690,
2005,Scampi_SCI,fine,4990,
2006,Squid_SQU,fine,19170,
2007,Squid_SQU,fine,23420,
2008,Squid_SQU,fine,10090,
2009,Squid_SQU,fine,11930,
