Year,Brown_trout_probability_of_capture,Canterbury_galaxias_probability_of_capture,Common_bully_probability_of_capture,Exotic_fish_probability_of_capture,Koaro_probability_of_capture,Koura_probability_of_capture,Longfin_eel_Shortfin_eel_probability_of_capture,Native_fish_probability_of_capture,Rainbow_trout_probability_of_capture,Redfin_bully_probability_of_capture,Shortfin_eel_probability_of_capture,Torrentfish_probability_of_capture,Upland_bully_probability_of_capture
1977,0.1154,0.2463,0.0465,0.2607,0.0276,0.0868,0.2657,0.7965,0.0799,0.0077,0.0469,0.0213,0.2744
1978,0.2430,0.3748,0.0504,0.2775,0.0297,0.1337,0.2865,0.7998,0.0318,0.0059,0.0427,0.0236,0.2527
1979,0.1741,0.2576,0.0568,0.2372,0.0341,0.1070,0.3890,0.8441,0.0487,0.0099,0.0832,0.0376,0.1829
1980,0.2428,0.2225,0.0575,0.1617,0.0480,0.1460,0.3164,0.8497,0.0255,0.0094,0.0385,0.0205,0.2728
1981,0.2444,0.4467,0.0481,0.2521,0.0672,0.1558,0.2956,0.8767,0.0685,0.0081,0.0494,0.0598,0.1982
1982,0.2746,0.1955,0.0315,0.2459,0.0408,0.1587,0.2478,0.8133,0.0451,0.0068,0.0810,0.0649,0.0972
1983,0.2502,0.1521,0.0513,0.1838,0.0297,0.0702,0.2254,0.8538,0.0983,0.0030,0.0256,0.0168,0.0357
1984,0.1945,0.2015,0.1683,0.4415,0.0354,0.1547,0.3064,0.7949,0.1125,0.0175,0.0154,0.0182,0.0547
1985,0.1971,0.1376,0.1043,0.3869,0.0613,0.1347,0.2880,0.8265,0.1004,0.0151,0.0212,0.0312,0.1673
1986,0.1104,0.3363,0.0747,0.2974,0.1235,0.1461,0.5573,0.8694,0.1063,0.0117,0.0317,0.0388,0.1364
1987,0.1082,0.2715,0.0842,0.3601,0.0254,0.1762,0.3128,0.8141,0.1373,0.0052,0.0355,0.0340,0.1129
1988,0.1215,0.3300,0.0326,0.3877,0.0589,0.1800,0.4104,0.9089,0.0875,0.0186,0.0393,0.0323,0.0925
1989,0.0824,0.4120,0.0973,0.3846,0.0477,0.0920,0.3627,0.7856,0.0441,0.0072,0.0350,0.0231,0.0997
