Year,Brown_trout_probability_of_capture,Brown_trout_lower_Confidenceinterval,Brown_trout_upper_Confidenceinterval,Canterbury_galaxias_probability_of_capture,Canterbury_galaxias_lower_Confidenceinterval,Canterbury_galaxias_upper_Confidenceinterval,Common_bully_probability_of_capture,Common_bully_lower_Confidenceinterval,Common_bully_upper_Confidenceinterval,Exotic_fish_probability_of_capture,Exotic_fish_lower_Confidenceinterval,Exotic_fish_upper_Confidenceinterval,Koaro_probability_of_capture,Koaro_lower_Confidenceinterval,Koaro_upper_Confidenceinterval,Koura_probability_of_capture,Koura_lower_Confidenceinterval,Koura_upper_Confidenceinterval,Longfin_eel_Shortfin_eel_probability_of_capture,Longfin_eel_Shortfin_eel_lower_Confidenceinterval,Longfin_eel_Shortfin_eel_upper_Confidenceinterval,Native_fish_probability_of_capture,Native_fish_lower_Confidenceinterval,Native_fish_upper_Confidenceinterval,Rainbow_trout_probability_of_capture,Rainbow_trout_lower_Confidenceinterval,Rainbow_trout_upper_Confidenceinterval,Redfin_bully_probability_of_capture,Redfin_bully_lower_Confidenceinterval,Redfin_bully_upper_Confidenceinterval,Shortfin_eel_probability_of_capture,Shortfin_eel_lower_Confidenceinterval,Shortfin_eel_upper_Confidenceinterval,Torrentfish_probability_of_capture,Torrentfish_lower_Confidenceinterval,Torrentfish_upper_Confidenceinterval,Upland_bully_probability_of_capture,Upland_bully_lower_Confidenceinterval,Upland_bully_upper_Confidenceinterval
2007,0.092332444,0.071478561,0.113186326,0.176894062,0.119265855,0.234148426,0.046482965,0.032001962,0.060924573,0.260679842,0.221702042,0.299657641,0.027596483,0.016212558,0.038957841,0.086838338,0.063785522,0.109825152,0.265716496,0.22083094,0.310602052,0.796513278,0.760287911,0.832498381,0.079888953,0.052409407,0.10744787,0.007696349,0.004059492,0.011333206,0.046894054,0.032721695,0.061066413,0.021269245,0.010089014,0.032419769,0.274368888,0.221407267,0.327579135
2008,0.155527347,0.127386794,0.183667901,0.106777302,0.068434638,0.144984669,0.050371778,0.036031001,0.064712555,0.277512754,0.238778387,0.316247121,0.029711821,0.018739645,0.0407663,0.133728952,0.104872298,0.162308821,0.286496001,0.242897373,0.330094628,0.799838655,0.765220323,0.834456987,0.031839237,0.01714273,0.04630485,0.005860535,0.003279425,0.008408376,0.042672864,0.029805465,0.055540263,0.023576702,0.012159127,0.03541504,0.252662146,0.204137421,0.301265089
2009,0.112516347,0.083737494,0.1412952,0.210687046,0.111314393,0.311583724,0.056822908,0.038229963,0.075391063,0.237204658,0.193521541,0.281067915,0.034146717,0.017986556,0.050176934,0.107005201,0.077768672,0.136148041,0.389018294,0.328326847,0.449648841,0.844113307,0.808586409,0.879971288,0.048735102,0.023143955,0.074413159,0.009917589,0.005374191,0.014423159,0.083180441,0.058327065,0.107964431,0.037558108,0.019527961,0.055666564,0.182851908,0.129715946,0.235987871
2010,0.075221264,0.051938241,0.098671769,0.133669309,0.077291526,0.19003412,0.057491451,0.036295439,0.078687463,0.161749015,0.121791278,0.201444232,0.047987557,0.025931952,0.069643646,0.14600619,0.103167598,0.189018209,0.316350721,0.249509908,0.383191535,0.849727898,0.81000668,0.889449116,0.025472702,0.008199492,0.042745912,0.009413354,0.003950966,0.014765808,0.03852665,0.023377703,0.053740533,0.020487132,0.005889783,0.034953408,0.2728117,0.20559063,0.34003277
2011,0.095048824,0.070423525,0.119674123,0.194122203,0.105028709,0.282676792,0.048126612,0.030375773,0.065877452,0.252144944,0.206463148,0.297438685,0.067228935,0.042200504,0.091691915,0.155781605,0.116412451,0.194924493,0.295649784,0.236921621,0.354585282,0.87674379,0.846737882,0.906555527,0.0684887,0.032527863,0.104459477,0.008104333,0.003900417,0.012290318,0.049382983,0.031979173,0.066861736,0.059793021,0.034152802,0.086738986,0.19816493,0.145659047,0.250973692
2012,0.103842767,0.077534431,0.130411656,0.362501274,0.18572374,0.535618034,0.031547084,0.016549718,0.04654445,0.245910083,0.201574692,0.290245474,0.040804927,0.023281427,0.058545937,0.158705597,0.118723992,0.198482089,0.247777156,0.193905791,0.301170273,0.813284876,0.773944969,0.852624782,0.045118744,0.021463052,0.069047521,0.00679804,0.002990465,0.010651829,0.080963889,0.051520611,0.110407168,0.064915471,0.035551879,0.093915256,0.097171186,0.055827398,0.138600622
1977,0.115406598,0.060022556,0.17079064,0.246325707,-0.063088528,0.588244855,0.051305379,0.024030532,0.078580225,0.18381176,0.110785255,0.257204025,0.029669435,0.00654149,0.052698867,0.070221179,0.029215532,0.111227881,0.225366964,0.140856339,0.30987759,0.853819057,0.770164979,0.937309506,0.098300618,0.0225342,0.172726487,0.002957742,0.000896496,0.005014239,0.025554925,0.011925485,0.039184364,0.016769894,0.005779331,0.027908928,0.035681455,-0.007546136,0.083091553
1978,0.24298981,0.145558111,0.341807385,0.374848586,0.125899104,0.615740546,0.168331528,0.100459277,0.23538132,0.441527249,0.32704096,0.554645379,0.035376733,0.007271653,0.063338901,0.154687481,0.085553862,0.224526271,0.306352411,0.207795837,0.405804318,0.794947301,0.698511464,0.891396873,0.112542868,0.03103672,0.193697802,0.017455468,0.005867629,0.029127465,0.015358997,0.005672189,0.025045804,0.018212697,0.002943101,0.033520633,0.054668247,0.009147637,0.099588271
1979,0.174117303,0.120148096,0.227934674,0.25760848,0.122262534,0.392781668,0.104339602,0.06462914,0.144050064,0.386935124,0.30211251,0.471290548,0.0613166,0.031937216,0.090453448,0.134664754,0.086519522,0.182865537,0.28796656,0.217294224,0.358610393,0.826476781,0.764550827,0.888338459,0.100364177,0.052624738,0.148103616,0.015071685,0.005910731,0.024284582,0.021241343,0.00976596,0.032720566,0.031199674,0.012748513,0.050020724,0.16734661,0.103840116,0.230853104
1980,0.242757461,0.173358921,0.312156001,0.222461776,0.012864846,0.438478908,0.07473489,0.044130662,0.104990851,0.297429822,0.227334893,0.367174336,0.123533543,0.078395003,0.168672083,0.146115465,0.096753627,0.195477303,0.557290118,0.464401501,0.64997783,0.8694078,0.814644843,0.925276722,0.106278256,0.053296326,0.15887629,0.011720569,0.005415078,0.018052482,0.031697115,0.017014036,0.046358725,0.038798389,0.020355316,0.057466056,0.136385976,0.071285945,0.200120268
