Area,year,Maximum,Mean,Minimum,Sample_Size,Standard_Deviation
Map,1993,23.4033,14.3612,7.04068,6444317,3.64791
Tasman,1993,22.9843,15.1366,9.32433,1490916,2.08638
STW,1993,22.5443,17.3382,11.9432,1375991,2.08266
SAW,1993,15.3163,10.1077,7.04068,1195520,1.01393
Map,1994,24.1099,14.4678,6.06082,6444254,3.56263
Tasman,1994,22.1622,15.4363,9.82646,1491138,2.06061
STW,1994,24.1099,17.5668,10.6056,1376092,1.96375
SAW,1994,18.245,10.4094,6.55858,1195420,1.0172
Map,1995,23.2561,14.5782,6.00712,6444670,3.85053
Tasman,1995,21.9661,15.3093,9.2114,1490963,2.12637
STW,1995,23.2561,18.0664,11.9787,1376097,1.87506
SAW,1995,16.0153,9.95481,6.00712,1195518,1.3031
Map,1996,22.579,14.649,6.76509,6444554,3.78651
Tasman,1996,21.8135,15.5829,8.94077,1490861,2.20289
STW,1996,21.3099,17.901,11.2776,1376056,1.97736
SAW,1996,14.803,10.1012,6.80538,1195575,1.33448
Map,1997,23.6977,14.4728,6.98289,6444911,3.76706
Tasman,1997,21.1279,15.4521,8.32093,1491061,2.28691
STW,1997,23.6977,17.632,12.0165,1376117,1.90636
SAW,1997,15.5208,9.92362,6.98289,1195616,1.16777
Map,1998,23.2561,14.632,6.71456,6444993,3.89736
Tasman,1998,22.1117,15.861,8.56638,1491104,2.51211
STW,1998,23.0273,18.472,12.4573,1376142,2.17156
SAW,1998,18.4913,9.96257,6.94344,1195543,1.31914
Map,1999,22.5496,15.0981,7.70371,6444939,3.77122
Tasman,1999,20.8799,16.0646,9.21244,1491200,1.93016
STW,1999,22.5496,18.1987,12.4914,1376091,1.7123
SAW,1999,17.8423,10.5427,7.70371,1195580,1.33843
Map,2000,22.844,14.8112,6.90835,6444677,3.76373
Tasman,2000,21.2933,15.7499,9.33644,1490979,2.05785
STW,2000,22.844,17.7427,11.887,1376066,1.78471
SAW,2000,15.5393,10.2153,6.90835,1195574,1.2137
Map,2001,22.6084,14.8066,7.1149,6446041,3.84937
Tasman,2001,22.6084,15.9628,8.38585,1491605,2.09443
STW,2001,21.8418,17.9944,10.4436,1376444,1.81216
SAW,2001,15.9309,10.0094,7.1149,1195606,1.2289
Map,2002,22.0196,14.8327,7.36009,6445970,3.86158
Tasman,2002,21.4905,15.6042,8.98675,1491499,1.93526
STW,2002,21.6081,17.9462,12.1617,1376474,1.76822
SAW,2002,16.6693,10.0197,7.36009,1195672,1.24374
Map,2003,22.5201,14.7494,7.09288,6446136,3.97356
Tasman,2003,21.3952,15.4839,9.10164,1491668,2.10046
STW,2003,22.5201,17.9259,11.7532,1376410,1.79001
SAW,2003,18.5227,9.70619,7.11297,1195634,1.31878
Map,2004,23.1089,14.5186,6.82639,6449116,3.92487
Tasman,2004,23.1089,15.1078,8.5001,1492128,2.12014
STW,2004,22.7783,17.7568,11.1037,1377495,1.92225
SAW,2004,16.3934,9.56511,6.82639,1196077,1.26164
Map,2005,23.5211,14.7422,7.0264,6451441,3.84461
Tasman,2005,21.6462,15.8727,9.06981,1493649,2.06477
STW,2005,23.5211,17.8914,12.4193,1377596,1.81624
SAW,2005,17.2224,9.957,7.06854,1196234,1.35028
Map,2006,24.1099,14.6198,7.1429,6449371,3.90866
Tasman,2006,24.1099,15.3485,9.13393,1492428,2.12877
STW,2006,22.7248,17.8483,11.5145,1377446,1.83107
SAW,2006,18.4182,9.68884,7.1429,1196137,1.29126
Map,2007,22.314,14.5462,6.9222,6449512,4.00232
Tasman,2007,22.1351,15.5582,9.12955,1492504,2.19261
STW,2007,22.314,17.9209,10.5017,1377453,1.88009
SAW,2007,16.7459,9.45144,6.9222,1196152,1.2577
SAW,2008,15.7545,9.61252,6.8767,1196205,1.35701
Map,2008,23.6977,14.5632,6.8767,6450169,3.92927
Tasman,2008,21.7013,15.581,10.2536,1492859,2.03379
STW,2008,22.6358,17.7828,12.1651,1377502,1.79709
SAW,2009,23.7566,9.46809,7.03907,1196278,1.25108
Map,2009,23.7566,14.5427,7.03907,6450855,3.97262
Tasman,2009,21.989,15.5652,9.18999,1492808,2.24414
STW,2009,21.7548,17.8449,12.0011,1377767,2.09444
SAW,2010,16.3114,9.98569,7.27088,1196271,1.3779
Map,2010,22.4318,14.7388,7.21088,6451412,3.85997
Tasman,2010,20.9917,15.7705,10.4711,1493593,2.19951
STW,2010,21.8718,17.8777,12.1912,1377645,2.00232
SAW,2011,17.6882,9.82353,6.44853,1196144,1.23602
Map,2011,24.8754,14.4536,6.44853,6450142,3.83321
Tasman,2011,23.1961,15.5046,8.17255,1492752,2.23793
STW,2011,24.8754,18.0246,11.0608,1377708,2.17257
SAW,2012,18.4363,9.96002,7.36847,1196215,1.38611
Map,2012,23.3739,14.7561,7.36847,6450272,3.84035
Tasman,2012,23.3739,15.5158,9.50253,1492871,1.94535
STW,2012,21.993,17.8615,10.5068,1377505,2.00169
Map,2013,22.991,15.121,6.943,6451120,3.844
Tasman,2013,21.491,16.009,10.519,1493117,2.0898
STW,2013,22.19,18.0603,11.567,1377802,1.546
SAW,2013,20.32,10.597,6.943,1196192,1.449
