year,Fishery,Estimate_type,Bycatch_tonnes
1991,Hoki_HOK,fine,36634
1991,Jack_mackerel_JMA,fine,5399
1991,Southern_blue_whiting_SBW,fine,533
1991,Squid_SQU,fine,17370
1991,Ling_longline_LLL,fine,3180
1991,Orange_roughy_ORH,fine,18940
1991,Oreo_OEO,fine,270
1991,Scampi_SCI,fine,7900
1992,Hoki_HOK,fine,24148
1992,Jack_mackerel_JMA,fine,10932
1992,Southern_blue_whiting_SBW,fine,1479
1992,Squid_SQU,fine,10520
1992,Ling_longline_LLL,fine,3340
1992,Orange_roughy_ORH,fine,17940
1992,Oreo_OEO,fine,1090
1992,Scampi_SCI,fine,7080
1993,Hoki_HOK,fine,21871
1993,Southern_blue_whiting_SBW,fine,206
1993,Squid_SQU,fine,4490
1993,Jack_mackerel_JMA,fine,7347
1993,Ling_longline_LLL,fine,3561
1993,Orange_roughy_ORH,fine,21880
1993,Oreo_OEO,fine,750
1993,Scampi_SCI,fine,4650
1994,Hoki_HOK,fine,15196
1994,Southern_blue_whiting_SBW,fine,382
1994,Squid_SQU,fine,15890
1994,Jack_mackerel_JMA,fine,7422
1994,Ling_longline_LLL,fine,3772
1994,Orange_roughy_ORH,fine,16500
1994,Oreo_OEO,fine,1980
1994,Scampi_SCI,fine,2920
1995,Hoki_HOK,fine,28097
1995,Southern_blue_whiting_SBW,fine,178
1995,Squid_SQU,fine,14130
1995,Jack_mackerel_JMA,fine,7352
1995,Ling_longline_LLL,fine,2957
1995,Orange_roughy_ORH,fine,7210
1995,Oreo_OEO,fine,2260
1995,Scampi_SCI,fine,3450
1996,Hoki_HOK,fine,28569
1996,Southern_blue_whiting_SBW,fine,63
1996,Squid_SQU,fine,9510
1996,Jack_mackerel_JMA,fine,12639
1996,Ling_longline_LLL,fine,3075
1996,Orange_roughy_ORH,fine,7820
1996,Oreo_OEO,fine,1280
1996,Scampi_SCI,fine,4150
1997,Hoki_HOK,fine,38479
1997,Southern_blue_whiting_SBW,fine,203
1997,Squid_SQU,fine,20140
1997,Jack_mackerel_JMA,fine,15489
1997,Ling_longline_LLL,fine,3767
1997,Orange_roughy_ORH,fine,9220
1997,Oreo_OEO,fine,570
1997,Scampi_SCI,fine,4860
1998,Hoki_HOK,fine,42714
1998,Southern_blue_whiting_SBW,fine,296
1998,Squid_SQU,fine,12550
1998,Jack_mackerel_JMA,fine,11644
1998,Ling_longline_LLL,fine,4068
1998,Orange_roughy_ORH,fine,4250
1998,Oreo_OEO,fine,1730
1998,Scampi_SCI,fine,7940
1999,Hoki_HOK,fine,
1999,Southern_blue_whiting_SBW,fine,223
1999,Squid_SQU,fine,20980
1999,Jack_mackerel_JMA,fine,12535
1999,Ling_longline_LLL,fine,2611
1999,Orange_roughy_ORH,fine,4850
1999,Oreo_OEO,fine,670
1999,Scampi_SCI,fine,5060
2000,Hoki_HOK,fine,60000
2000,Southern_blue_whiting_SBW,fine,364
2000,Squid_SQU,fine,25280
2000,Jack_mackerel_JMA,fine,11940
2000,Ling_longline_LLL,fine,2854
2000,Orange_roughy_ORH,fine,6400
2000,Oreo_OEO,fine,1020
2000,Scampi_SCI,fine,3690
2001,Hoki_HOK,fine,57400
2001,Southern_blue_whiting_SBW,fine,230
2001,Squid_SQU,fine,20760
2001,Jack_mackerel_JMA,fine,10300
2001,Ling_longline_LLL,fine,2650
2001,Orange_roughy_ORH,fine,6160
2001,Oreo_OEO,fine,800
2001,Scampi_SCI,fine,4990
2002,Hoki_HOK,fine,59200
2002,Oreo_OEO,fine,920
2002,Southern_blue_whiting_SBW,fine,390
2002,Squid_SQU,fine,16090
2002,Jack_mackerel_JMA,fine,7740
2002,Ling_longline_LLL,fine,2673
2002,Orange_roughy_ORH,fine,3620
2002,Scampi_SCI,fine,19170
2003,Hoki_HOK,fine,55800
2003,Southern_blue_whiting_SBW,fine,250
2003,Squid_SQU,fine,18100
2003,Jack_mackerel_JMA,fine,8050
2003,Ling_longline_LLL,fine,1994
2003,Orange_roughy_ORH,fine,2300
2003,Oreo_OEO,fine,720
2003,Scampi_SCI,fine,23420
2004,Hoki_HOK,fine,58000
2004,Southern_blue_whiting_SBW,fine,190
2004,Squid_SQU,fine,10609
2004,Jack_mackerel_JMA,fine,15308
2004,Ling_longline_LLL,fine,3032
2004,Orange_roughy_ORH,fine,3320
2004,Oreo_OEO,fine,400
2004,Scampi_SCI,fine,10090
2005,Hoki_HOK,fine,41000
2005,Southern_blue_whiting_SBW,fine,40
2005,Squid_SQU,fine,8546
2005,Jack_mackerel_JMA,fine,15918
2005,Ling_longline_LLL,fine,2713
2005,Orange_roughy_ORH,fine,3730
2005,Oreo_OEO,fine,1350
2005,Scampi_SCI,fine,11930
2006,Hoki_HOK,fine,37000
2006,Scampi_SCI,fine,2090
2006,Southern_blue_whiting_SBW,fine,68
2006,Jack_mackerel_JMA,coarse,11649
2006,Ling_longline_LLL,fine,2672
2006,Orange_roughy_ORH,fine,3085
2006,Oreo_OEO,fine,1051
2006,Squid_SQU,fine,10330
2007,Hoki_HOK,fine,36000
2007,Scampi_SCI,fine,4110
2007,Southern_blue_whiting_SBW,fine,101
2007,Jack_mackerel_JMA,coarse,9737
2007,Ling_longline_LLL,fine,2912
2007,Orange_roughy_ORH,fine,707
2007,Oreo_OEO,fine,411
2007,Squid_SQU,fine,11240
2008,Hoki_HOK,coarse,18264
2008,Scampi_SCI,fine,3790
2008,Southern_blue_whiting_SBW,coarse,265
2008,Jack_mackerel_JMA,coarse,13013
2008,Ling_longline_LLL,fine,2452
2008,Orange_roughy_ORH,fine,561
2008,Oreo_OEO,fine,472
2008,Squid_SQU,fine,4756
2009,Hoki_HOK,coarse,15049
2009,Scampi_SCI,fine,2900
2009,Southern_blue_whiting_SBW,coarse,188
2009,Jack_mackerel_JMA,coarse,7050
2009,Ling_longline_LLL,fine,20450
2009,Orange_roughy_ORH,fine,1600
2009,Oreo_OEO,fine,4170
2009,Squid_SQU,fine,
2010,Hoki_HOK,coarse,16178
2010,Scampi_SCI,fine,3290
2010,Southern_blue_whiting_SBW,coarse,193
2010,Jack_mackerel_JMA,coarse,8520
2010,Ling_longline_LLL,fine,22250
2010,Orange_roughy_ORH,coarse,480
2010,Oreo_OEO,coarse,7520
2010,Squid_SQU,fine,
2011,Hoki_HOK,coarse,16889
2011,Scampi_SCI,coarse,1027
2011,Southern_blue_whiting_SBW,coarse,16860
2011,Jack_mackerel_JMA,coarse,3310
2011,Ling_longline_LLL,fine,11650
2011,Orange_roughy_ORH,coarse,730
2011,Oreo_OEO,coarse,9050
2011,Squid_SQU,fine,
2012,Hoki_HOK,coarse,14181
2012,Scampi_SCI,coarse,963
2012,Southern_blue_whiting_SBW,coarse,15710
2012,Jack_mackerel_JMA,coarse,3320
2012,Ling_longline_LLL,fine,27220
2012,Orange_roughy_ORH,coarse,630
2012,Oreo_OEO,coarse,5310
2012,Squid_SQU,coarse,
