@relation estimated-bycatch-refined-and-temperature-merged

@attribute year numeric
@attribute Bycatch_tonnes numeric
@attribute Fishery {Hoki_HOK,Southern_blue_whiting_SBW,Squid_SQU,Jack_mackerel_JMA,Ling_longline_LLL,Orange_roughy_ORH,Oreo_OEO,Scampi_SCI}
@attribute Mean_Temp numeric
@attribute Area {Map,Tasman,STW,SAW}

@data
1993,21871,Hoki_HOK,14.3612,Map
1993,206,Southern_blue_whiting_SBW,15.1366,Tasman
1993,4490,Squid_SQU,17.3382,STW
1993,7347,Jack_mackerel_JMA,10.1077,SAW
1993,3561,Ling_longline_LLL,14.3612,Map
1993,21880,Orange_roughy_ORH,15.1366,Tasman
1993,750,Oreo_OEO,17.3382,STW
1993,4650,Scampi_SCI,10.1077,SAW
1994,15196,Hoki_HOK,14.4678,Map
1994,382,Southern_blue_whiting_SBW,15.4363,Tasman
1994,15890,Squid_SQU,17.5668,STW
1994,7422,Jack_mackerel_JMA,10.4094,SAW
1994,3772,Ling_longline_LLL,14.4678,Map
1994,16500,Orange_roughy_ORH,15.4363,Tasman
1994,1980,Oreo_OEO,17.5668,STW
1994,2920,Scampi_SCI,10.4094,SAW
1995,28097,Hoki_HOK,14.5782,Map
1995,178,Southern_blue_whiting_SBW,15.3093,Tasman
1995,14130,Squid_SQU,18.0664,STW
1995,7352,Jack_mackerel_JMA,9.95481,SAW
1995,2957,Ling_longline_LLL,14.5782,Map
1995,7210,Orange_roughy_ORH,15.3093,Tasman
1995,2260,Oreo_OEO,18.0664,STW
1995,3450,Scampi_SCI,9.95481,SAW
1996,28569,Hoki_HOK,14.649,Map
1996,63,Southern_blue_whiting_SBW,15.5829,Tasman
1996,9510,Squid_SQU,17.901,STW
1996,12639,Jack_mackerel_JMA,10.1012,SAW
1996,3075,Ling_longline_LLL,14.649,Map
1996,7820,Orange_roughy_ORH,15.5829,Tasman
1996,1280,Oreo_OEO,17.901,STW
1996,4150,Scampi_SCI,10.1012,SAW
1997,38479,Hoki_HOK,14.4728,Map
1997,203,Southern_blue_whiting_SBW,15.4521,Tasman
1997,20140,Squid_SQU,17.632,STW
1997,15489,Jack_mackerel_JMA,9.92362,SAW
1997,3767,Ling_longline_LLL,14.4728,Map
1997,9220,Orange_roughy_ORH,15.4521,Tasman
1997,570,Oreo_OEO,17.632,STW
1997,4860,Scampi_SCI,9.92362,SAW
1998,42714,Hoki_HOK,14.632,Map
1998,296,Southern_blue_whiting_SBW,15.861,Tasman
1998,12550,Squid_SQU,18.472,STW
1998,11644,Jack_mackerel_JMA,9.96257,SAW
1998,4068,Ling_longline_LLL,14.632,Map
1998,4250,Orange_roughy_ORH,15.861,Tasman
1998,1730,Oreo_OEO,18.472,STW
1998,7940,Scampi_SCI,9.96257,SAW
1999,223,Southern_blue_whiting_SBW,15.0981,Map
1999,20980,Squid_SQU,16.0646,Tasman
1999,12535,Jack_mackerel_JMA,18.1987,STW
1999,2611,Ling_longline_LLL,10.5427,SAW
1999,4850,Orange_roughy_ORH,15.0981,Map
1999,670,Oreo_OEO,16.0646,Tasman
1999,5060,Scampi_SCI,18.1987,STW
2000,60000,Hoki_HOK,14.8112,Map
2000,364,Southern_blue_whiting_SBW,15.7499,Tasman
2000,25280,Squid_SQU,17.7427,STW
2000,11940,Jack_mackerel_JMA,10.2153,SAW
2000,2854,Ling_longline_LLL,14.8112,Map
2000,6400,Orange_roughy_ORH,15.7499,Tasman
2000,1020,Oreo_OEO,17.7427,STW
2000,3690,Scampi_SCI,10.2153,SAW
2001,57400,Hoki_HOK,14.8066,Map
2001,230,Southern_blue_whiting_SBW,15.9628,Tasman
2001,20760,Squid_SQU,17.9944,STW
2001,10300,Jack_mackerel_JMA,10.0094,SAW
2001,2650,Ling_longline_LLL,14.8066,Map
2001,6160,Orange_roughy_ORH,15.9628,Tasman
2001,800,Oreo_OEO,17.9944,STW
2001,4990,Scampi_SCI,10.0094,SAW
2002,59200,Hoki_HOK,14.8327,Map
2002,920,Oreo_OEO,15.6042,Tasman
2002,390,Southern_blue_whiting_SBW,17.9462,STW
2002,16090,Squid_SQU,10.0197,SAW
2002,7740,Jack_mackerel_JMA,14.8327,Map
2002,2673,Ling_longline_LLL,15.6042,Tasman
2002,3620,Orange_roughy_ORH,17.9462,STW
2002,19170,Scampi_SCI,10.0197,SAW
2003,55800,Hoki_HOK,14.7494,Map
2003,250,Southern_blue_whiting_SBW,15.4839,Tasman
2003,18100,Squid_SQU,17.9259,STW
2003,8050,Jack_mackerel_JMA,9.70619,SAW
2003,1994,Ling_longline_LLL,14.7494,Map
2003,2300,Orange_roughy_ORH,15.4839,Tasman
2003,720,Oreo_OEO,17.9259,STW
2003,23420,Scampi_SCI,9.70619,SAW
2004,58000,Hoki_HOK,14.5186,Map
2004,190,Southern_blue_whiting_SBW,15.1078,Tasman
2004,10609,Squid_SQU,17.7568,STW
2004,15308,Jack_mackerel_JMA,9.56511,SAW
2004,3032,Ling_longline_LLL,14.5186,Map
2004,3320,Orange_roughy_ORH,15.1078,Tasman
2004,400,Oreo_OEO,17.7568,STW
2004,10090,Scampi_SCI,9.56511,SAW
2005,41000,Hoki_HOK,14.7422,Map
2005,40,Southern_blue_whiting_SBW,15.8727,Tasman
2005,8546,Squid_SQU,17.8914,STW
2005,15918,Jack_mackerel_JMA,9.957,SAW
2005,2713,Ling_longline_LLL,14.7422,Map
2005,3730,Orange_roughy_ORH,15.8727,Tasman
2005,1350,Oreo_OEO,17.8914,STW
2005,11930,Scampi_SCI,9.957,SAW
2006,37000,Hoki_HOK,14.6198,Map
2006,2090,Scampi_SCI,15.3485,Tasman
2006,68,Southern_blue_whiting_SBW,17.8483,STW
