@relation mean-annual-sea-surface-temperatures-19932013

@attribute year2 numeric
@attribute Mean_Temp numeric
@attribute Area {Map,Tasman,STW,SAW}

@data
1993,14.3612,Map
1993,15.1366,Tasman
1993,17.3382,STW
1993,10.1077,SAW
1994,14.4678,Map
1994,15.4363,Tasman
1994,17.5668,STW
1994,10.4094,SAW
1995,14.5782,Map
1995,15.3093,Tasman
1995,18.0664,STW
1995,9.95481,SAW
1996,14.649,Map
1996,15.5829,Tasman
1996,17.901,STW
1996,10.1012,SAW
1997,14.4728,Map
1997,15.4521,Tasman
1997,17.632,STW
1997,9.92362,SAW
1998,14.632,Map
1998,15.861,Tasman
1998,18.472,STW
1998,9.96257,SAW
1999,15.0981,Map
1999,16.0646,Tasman
1999,18.1987,STW
1999,10.5427,SAW
2000,14.8112,Map
2000,15.7499,Tasman
2000,17.7427,STW
2000,10.2153,SAW
2001,14.8066,Map
2001,15.9628,Tasman
2001,17.9944,STW
2001,10.0094,SAW
2002,14.8327,Map
2002,15.6042,Tasman
2002,17.9462,STW
2002,10.0197,SAW
2003,14.7494,Map
2003,15.4839,Tasman
2003,17.9259,STW
2003,9.70619,SAW
2004,14.5186,Map
2004,15.1078,Tasman
2004,17.7568,STW
2004,9.56511,SAW
2005,14.7422,Map
2005,15.8727,Tasman
2005,17.8914,STW
2005,9.957,SAW
2006,14.6198,Map
2006,15.3485,Tasman
2006,17.8483,STW
2006,9.68884,SAW
2007,14.5462,Map
2007,15.5582,Tasman
2007,17.9209,STW
2007,9.45144,SAW
2008,9.61252,SAW
2008,14.5632,Map
2008,15.581,Tasman
2008,17.7828,STW
2009,9.46809,SAW
2009,14.5427,Map
2009,15.5652,Tasman
2009,17.8449,STW
2010,9.98569,SAW
2010,14.7388,Map
2010,15.7705,Tasman
2010,17.8777,STW
2011,9.82353,SAW
2011,14.4536,Map
2011,15.5046,Tasman
2011,18.0246,STW
2012,9.96002,SAW
2012,14.7561,Map
2012,15.5158,Tasman
2012,17.8615,STW
2013,15.121,Map
2013,16.009,Tasman
2013,18.0603,STW
2013,10.597,SAW
